var_name,description,valid_labels,missing_labels
V160001,2016 Case ID,,
V160001_orig,Original (6-digit) W estat Case ID,,
V160101,Pre-election weight -full sample,,
V160101f,Pre-election weight -FTF sample,,
V160101w,Pre-election weight -W eb sample,,
V160102,Post-election weight -full sample,,
V160102f,Post-election weight -FTF sample,,
V160102w,Post-election weight -W eb sample,,
V160201,Stratum -full sample,,
V160201f,Stratum -FTF sample,,
V160201w,Stratum -W eb sample,,
V160202,V ariance PSU -F ull sample,,
V160202f,V ariance PSU -FTF sample,,
V160202w,V ariance PSU -W eb sample,,
V160501,Mode of interview,"1. FTF/CASI
2. W eb
",
V160502,Completed Pre only or completed Pre and Post interviews,"0. Pre interview completed-
1. Pre and Post interviews
",
V161001,PRE: FTF ONLY: Audio Consent,"1. Continue
7. Refuse to allow audio
","-1. Inap, W eb mode
"
V161002,PRE: FTF ONLY: INTERVIEWER : Is R male or female (Observation),"1. Male
2. F emale
","-1. Inap, W eb mode
"
V161003,PRE: How often does R pay attn to politics and elections,"1. Always
2. Most of the time
3. About half the time
4. Some of the time
5. Never
",
V161004,PRE: How interested in following campaigns,"1. V ery much interested
2. Somewhat interested
3. Not much interested
",
V161005,PRE: Did R vote for President in 2012,"1. Y es, voted
2. No, didn’t vote
","-8. Don’t know (FTF only)
-9. Refused
"
V161006,PRE: Recall of last (2012) Presidential vote choice,"1. Barack Obama
2. Mitt Romney
5. Other SPECIFY
6. Other specify - specified
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161007,PRE: FTF ONL Y: HH Internet use,"1. Y es
2. No
","-1. Inap, W eb mode
-8. Don’t know (FTF only)
"
V161008,PRE: Days in week watch/listen/read news on any media,"0. None
1. One day
2. T wo days
3. Three days
4. F our days
5. Five days
6. Six days
7. Seven days
","-8. Don’t know (FTF only)
-9. Refused
"
V161009,PRE: Attention to news on any media,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inap,
-9. Refused
"
V161010a,PRE: V ote section- order of major party candidate names / FTF BallotColor,"1. Democratic candidate
2. Republican candidate
",
V161010b,PRE: V ote section- household address preloaded (sample address),"1. Sample address preloaded
",
V161010c,PRE: V ote section- candidate names preloaded for sample address,"0. No candidate names
1. Candidate names
",
V161010d,PRE: V ote section- FIPS state code for sample address,,
V161010e,PRE: V ote section- 2-char state Postal abbreviation for sample address,,
V161010f,PRE: V ote section- U.S. House District number (115th Congress) for sample,,
V161011,PRE: Is R registered to vote (pre-election),"1. Registered at this address
2. Registered at a different
3. Not currently registered
","-8. Don’t know (FTF only)
-9. Refused
"
V161011a,PRE WEB: Is R registered (registration address not answered),"1. Y es
2. No
","-1. INAP , FTF mode/WEB:
-9. Refused
"
V161012,PRE: Address of registration given (not registered at sample address),,
V161011,,,
V161011,,,
V161011a,,"0. Registration address not
1. Registration address given
2. Partial address given for
","-1. Inap,
"
V161013a,PRE: State included in address of registration (not registered at samp addr),,
V161011,,,
V161011,,,
V161011a,,"0. State not included for
1. State included for
","-1. Inap,
"
V161013b,PRE: City included in address of registration (not registered at samp addr),,
V161011,,,
V161011,,,
V161011a,,"0. City not included for
1. City included for
2. City included in incorrect
","-1. Inap,
"
V161014,PRE: State of registration - reg state not given (not registered at samp addr),"5. Arkansas
8. Colorado
36. New Y ork
39. Ohio
48. T exas
","-1. Inap,
"
V161015a,PRE: Registration state same as sample address state (all registrations),"0. State of registration is not
1. State of registration same
","-1. Inap,
"
V161015b,PRE: Registration state (all registrations),,
V161015c,PRE: Senate race in state of registration (all registrations),"0. No Senate race in state of
1. Senate race in state of
","-1. Inap,
"
V161015d,PRE: Governor race in state of registration (all registrations),"0. No Governor race in state
1. Governor race in state of
","-1. Inap,
"
V161015e,PRE: Party registration in state of registration (all registrations),"0. No party registration in
1. Party registration in state
","-1. Inap,
"
V161016,PRE: Is R registered to vote in preload county (resid),"1. Y es, registered in <county
2. No, registered in other
","-1. Inap,
-9. Refused
"
V161017,PRE: How many years has R been registered at registration location,,"-1. Inap
-8. Don’t know (FTF only)
-9. Refused
"
V161018,PRE: Party of registration,"0. No name recorded
1. RESTRICTED: Recorded,
2. RESTRICTED: Partially
1. Democratic party
2. Republican party
4. None or ‘independent’
5. Other SPECIFY
","-1. Inap
-1. Inap
-8. Don’t know (FTF
-9. Refused
"
V161020,PRE: Does R intend to register to vote,"1. Y es, intend to register
2. No, do not intend to
","-1. Inap
-8. Don’t know (FTF only)
"
V161021,PRE: Did R vote in a Presidential primary or caucus,"1. Y es, voted in primary or
2. No, didn’t vote in primary
","-8. Don’t know (FTF only)
-9. Refused
"
V161021a,PRE: F or which candidate did R vote in Presidential prim,"1. Hillary Clinton
2. Bernie Sanders
3. Another Democrat
4. Donald T rump
5. T ed Cruz
6. John Kasich
7. Marco Rubio
8. Another Republican
9. Someone else who is not a
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161022,PRE: Already voted in General Election,"1. Have voted
2. Have not voted
","-1. Inap
-9. Refused
"
V161022a,PRE: Confirmation voted (early) in November 8 election,"1. Y es, voted
2. No, have not voted
","-1. Inap
"
V161023,PRE: In what manner did R vote,"1. Definitely voted in person
2. Definitely voted by mailing
3. Definitely voted in some
","-1. Inap
"
V161024x,PRE: SUMMAR Y - Registration and early vote status,"1. Not (or DK/RF if)
2. Not (or DK/RF if)
3. Registered but did not
4. Registered and voted early
",
V161025,PRE: FTF ONL Y: IWR CHECKPOINT: have correct Pre ballot card,,
V161015a,,"1. Y es, have <yellow/green>
2. Have Ballot Card in wrong
3. Only have card(s) for
","-1. Inap,
"
V161025a,PRE: FTF ONL Y: IWR error at Ballot Card checkpoint,,
V161015a,,"0. Ballot card not used as
1. Ballot card used, names
2. Ballot card not used,
","-1. Inap,
"
V161025x,PRE: SUMMAR Y - administration of Pre vote module,"1. Used Ballot Card/preload
2. Use Ballot Card/preload
3. Used Ballot Card/preload
4. Not used (open-end
5. Not used (open-end
6. Not used (open-end
7. Program err: names
",
V161026,PRE: Did R vote for President in 2016,"1. Y es, voted for President
2. No, didn’t vote for President
","-1. Inap,
"
V161027,PRE: F or whom did R vote for President,,
V161026,,"1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate
","-1. Inap,
-9. Refused
"
V161028,PRE: Preference strong for Pres cand for whom R voted,,
V161027,,,
V161026,,"1. Strong
2. Not strong
","-1. Inap, -8,-9 in
"
V161029a,PRE: Placehold T ext- How long before election R made decision Pres vote,,"-2. Redacted text, separate file
"
V161029b,PRE: Placeholder Code- How long before election R made decision Pres vote,"1. That day; when I walked
3. More than one day/less
4. One week
5. More than one week/less
6. One month
8. T wo to three months; a
9. More than
10. Six months
11. More than six months;
12. Specific event; the answer
13. Other; the answer does
14. Longer than a week
99. Not answered; The
","-1. Inap
"
V161030,PRE: Does R intend to vote for President,"1. Y es
2. No
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161031,PRE: F or whom does R intend to vote for President,,
V161030,,"1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate
6. Other specify - specified
7. Other specify - specified
8. Other specify - specified
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161032,PRE: Pref strng for Pres cand for whom R intends to vote,,
V161031,,,
V161030,,"1. Strong
2. Not strong
","-1. Inap, -8,-9 in
-8. Don’t know (FTF only)
-9. Refused
"
V161033,PRE: Does R prefer Pres cand (no intent to register),"1. Y es
2. No
","-1. Inap
"
V161034,PRE: Preference for Pres cand (no intent to register),"1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate
6. Other specify - specified
","-1. Inap
"
V161035,PRE: Preference strong for Pres cand (no intent to reg),"1. Strong
2. Not strong
","-1. Inap
-8. Don’t know (FTF only)
"
V161036,PRE: Did R vote for U.S. House of Representatives,,
V161025x,,"1. Y es, voted for House of
2. No, didn’t vote for House
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161037,PRE: F or whom did R vote for U.S. House (ballot card),"1. Democratic House
2. Republican House
3. Other House candidate
5. Other SPECIFY (name
","-1. Inap,
-9. Refused
"
V161038,PRE: F or whom did R vote for U.S. House (no ballot card),,
V161025x,,,
V161036,,,
V161025x,,"1. Candidate/party
2. Candidate/party
3. Other mention, party not
","-1. Inap
-9. Refused
"
V161039,PRE: Does R intend to vote for U.S. House,"1. Y es
2. No
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161040,PRE: F or whom does R intend to vote for U.S. House (ballot card),"1. Democratic House
2. Republican House
3. Other House candidate
4. R VOL: names on ballot
5. Other SPECIFY (name
9. Other specify - specified as
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161041,PRE: F or whom does R intend to vote for U.S. House (no ballot cd),,
V161039,,,
V161040,,,
V161039,,"1. Candidate/party
2. Candidate/party
3. Other mention, party not
","-1. Inap
-8. Don’t know (FTF only)
-9. Refused
"
V161042,PRE: Does R prefer U.S. House candidate,,
V161025x,,"1. Y es
2. No
","-1. Inap
-8. Don’t know (FTF only)
"
V161043,PRE: Whom does R prefer for U.S. House (ballot card),"1. Democratic House
2. Republican House
3. Other House candidate
5. Other SPECIFY (name
","-1. Inap,
-8. Don’t know (FTF only)
"
V161044,PRE: Whom does R prefer for U.S. House (no ballot card),,"-1. Inapplicable
"
V161045x,PRE SUMMAR Y: Senate and Governor races,"00. No Senate/Governor race-
01. No Senate/Governor race-
10. Senate race- sample
11. Senate race- registration
20. Governor race- samp
21. Governor race-
30. Senate and Governor
31. Senate and Governor
",
V161046,PRE: Did R vote for U.S. Senate,"1. Y es, voted for Senate
2. No, didn’t vote for Senate
","-1. Inap,1,4 in V161025x and
"
V161047,PRE: R’s vote for U.S. Senate (ballot card),,
V161045x,,,
V161025x,,"1. Democratic Senate
2. Republican Senate
3. Other Senate candidate
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161048,PRE: R’s vote for U.S. Senate (no ballot card),,
V161045x,,,
V161025x,,"1. Candidate/party
2. Candidate/party
3. Other mention, party not
","-1. Inap,
-9. Refused
"
V161049,PRE: Does R intend to vote for U.S. Senate,,
V161045x,,,
V161025x,,"1. Y es
2. No
","-1. Inap V161025x in(2,5)
-8. Don’t know (FTF only)
-9. Refused
"
V161050,PRE: F or whom does R intend to vote for U.S. Senate (ballot card),,
V161040,,,
V161025x,,"1. Democratic Senate
2. Republican Senate
3. Other Senate candidate
5. Other SPECIFY (name
","-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused
"
V161051,PRE: F or whom does R intend to vote for US. Senate (no ballot card),,
V161040,,,
V161025x,,"1. Candidate/party
2. Candidate/party
3. Other mention, party not
","-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused
"
V161052,PRE: Does R prefer U.S. Senate candidate,"1. Y es
2. No
","-1. Inapplicable
-8. Don’t know (FTF only)
"
V161053,PRE: Whom does R prefer for U.S. Senate (ballot card),"1. Democratic Senate
2. Republican Senate
3. Other Senate candidate
","-1. Inapplicable
-4. Error: missing due to
-8. Don’t know (FTF only)
"
V161054,PRE: Whom does R prefer for U.S. Senate (no ballot card),,
V161045x,,,
V161025x,,,"-1. Inap,
-4. Error: missing due to
"
V161055,PRE: Did R vote for governor,"1. Y es, voted for Governor
2. No, didn’t vote for
","-1. Inap,
"
V161056,PRE: R’s vote for governor(ballot card),,
V161045x,,,
V161025x,,"1. Democratic Governor
2. Republican Governor
","-1. Inap,
"
V161057,PRE: R’s vote for governor (no ballot card),,
V161045x,,,
V161025x,,"2. Candidate/party
","-1. Inap,
"
V161058,PRE: Does R intend to vote for governor,,
V161045x,,,
V161025x,,"1. Y es
2. No
","-1. Inap,
-8. Don’t know (FTF only)
"
V161059,PRE: F or whom does R intend to vote for governor (ballot card),,
V161025x,,"1. Democratic Governor
2. Republican Governor
5. Other SPECIFY (name
","-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused
"
V161060,PRE: F or whom does R intend to vote for governor (no ballot card),,
V161025x,,"1. Candidate/party
2. Candidate/party
3. Other mention, party not
8. Other mention given as:
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161061,PRE: Does R prefer gubernatorial candidate,"1. Y es
2. No
","-1. Inap,
"
V161062,PRE: Whom does R prefer for governor (ballot card),,
V161045x,,,
V161025x,,"1. Democratic Senate
2. Republican Senate
","-1. Inap,
-4. Error: missing due to
"
V161063,PRE: Whom does R prefer for governor (no ballot card),,
V161045x,,,
V161025x,,,"-1. Inap,
"
V161064x,PRE: SUMMAR Y - party of Pre-election Presidential vote/intent/preference,"10. Democratic Presidential
11. Republican Presidential
12. Other Presidential
20. Democratic Presidential
21. Republican Presidential
22. Other Presidential
30. Democratic Presidential
31. Republican Presidential
32. Other Presidential
","-1. Inap, no
"
V161065x,PRE: SUMMAR Y - party of Pre-election U.S. House vote/intent/preference,"10. Democratic House
11. Republican House
12. Other House candidate:
20. Democratic House
21. Republican House
22. Other House candidate:
30. Democratic House
31. Republican House
32. Other House candidate:
","-1. Inap, no
"
V161066x,PRE: SUMMAR Y - party of Pre-election U.S. Senate vote/intent/preference,"10. Democratic Senate
11. Republican Senate
12. Other Senate candidate:
20. Democratic Senate
21. Republican Senate
22. Other Senate candidate:
30. Democratic Senate
31. Republican Senate
32. Other Senate candidate:
","-1. Inap, no
"
V161067x,PRE: SUMMAR Y - party of Pre-election Gubernatorial vote/intent/pref,"10. Democratic Gubernatorial
11. Republican Gubernatorial
20. Democratic Gubernatorial
21. Republican Gubernatorial
22. Other Gubernatorial
30. Democratic Gubernatorial
31. Republican Gubernatorial
","-1. No
"
V161068,PRE: Is there anything R likes about Democratic Pres cand,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161069,PRE: T ext- What is it that R likes about Democratic Pres cand,,"-2. Redacted text, separate file
"
V161070a,PRE: Code- What is it that R likes about Democratic Pres cand,,"-2. Coded data, future release
"
V161071,PRE: Is there anything R dislikes about Democratic Pres cand,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161072,PRE: T ext- What is it that R dislikes about Democratic Pres cand,,"-2. Redacted text, separate file
"
V161073a,PRE: Code- What is it that R dislikes about Democratic Pres cand,,"-2. Coded data, future release
"
V161074,PRE: Is there anything R likes about Republican Pres cand,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161075,PRE: T ext- What is it that R likes about Republican Pres cand,,"-2. Redacted text, separate file
"
V161076a,PRE: Code- What is it that R likes about Republican Pres cand,,"-2. Coded data, future release
"
V161077,PRE: Is there anything R dislikes about Republican Pres cand,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161078,PRE: T ext- What is it that R dislikes about Republican Pres cand,,"-2. Redacted text, separate file
"
V161079a,PRE: Code- What is it that R dislikes about Republican Pres cand,,"-2. Coded data, future release
"
V161080,PRE: Approval of Congress handling its job,"1. Approve
2. Disapprove
","-8. Don’t know (FTF only)
-9. Refused
"
V161080a,PRE: Strength appr disapprove Congress handling its job,"1. Strongly
2. Not strongly
","-1. INAP , -8,-9 in V161080
-8. Don’t know (FTF only)
-9. Refused
"
V161080x,PRE: SUMMAR Y - Approval/disapproval Congress handling job,,
V161080,,"1. Approve strongly
2. Approve not strongly
3. Disapprove not strongly
4. Disapprove strongly
","-2. Missing: -8,-9 in
"
V161081,PRE: Are things in the country on right track,"1. Right direction
2. W rong track
","-8. Don’t know (FTF only)
-9. Refused
"
V161082,PRE: Approve or disapprove President handling job as Pres,"1. Approve
2. Disapprove
","-8. Don’t know (FTF only)
-9. Refused
"
V161082a,PRE: How much approve or disapp Pres handling job,"1. Strongly
2. Not strongly
","-1. INAP , -8,-9 in V161082
-8. Don’t know (FTF only)
-9. Refused
"
V161082x,PRE: SUMMAR Y - Approval/disapproval President handling job,,
V161082,,"1. Approve strongly
2. Approve not strongly
3. Disapprove not strongly
4. Disapprove strongly
","-2. Missing: -8,-9 in
"
V161083,PRE: Approve or disapprove President handling economy,"1. Approve
2. Disapprove
","-8. Don’t know (FTF only)
-9. Refused
"
V161083a,PRE: How much approve or disapprove Pres handling economy,"1. Strongly
2. Not strongly
","-1. INAP , -8,-9 in V161083
-8. Don’t know (FTF only)
-9. Refused
"
V161083x,PRE: SUMMAR Y - Approval/disapproval President handling economy,,
V161083,,"1. Approve strongly
2. Approve not strongly
3. Disapprove not strongly
4. Disapprove strongly
","-2. Missing: -8,-9 in
"
V161084,PRE: Approve or disapprove President handling foreign rel,"1. Approve
2. Disapprove
","-8. Don’t know (FTF only)
-9. Refused
"
V161084a,PRE: How much approve or disapprove Pres handling foreign rel,"1. Strongly
2. Not strongly
","-1. INAP , -8,-9 in V161084
-8. Don’t know (FTF only)
-9. Refused
"
V161084x,PRE: SUMMAR Y - Approval/disapproval President handling foreign rel,,
V161084,,"1. Approve strongly
2. Approve not strongly
3. Disapprove not strongly
4. Disapprove strongly
","-2. Missing: -8,-9 in
"
V161085,PRE: Approve or disapprove President handling health care,"1. Approve
2. Disapprove
","-8. Don’t know (FTF only)
-9. Refused
"
V161085a,PRE: How much approve or disapprove Pres handling health care,"1. Strongly
2. Not strongly
","-1. INAP , -8,-9 in V161085
-8. Don’t know (FTF only)
-9. Refused
"
V161085x,PRE: SUMMAR Y - Approval/disapproval President handling health care,,
V161085,,"1. Approve strongly
2. Approve not strongly
3. Disapprove not strongly
4. Disapprove strongly
","-2. Missing: -8,-9 in
"
V161086,PRE: F eeling Thermometer: Democratic Presidential cand,,
V161087,PRE: F eeling Thermometer: Republican Presidential cand,,
V161088,PRE: F eeling Thermometer: Libertarian Presidential cand,,
V161089,PRE: F eeling Thermometer: Green Party Presidential cand,,
V161090,PRE: F eeling Thermometer: Democratic Vice-Pres cand,,
V161091,PRE: F eeling Thermometer: Republican Vice-Pres cand,,
V161092,PRE: F eeling Thermometer: Previous President,,
V161093,PRE: F eeling Thermometer: Bill Clinton,,
V161094,PRE: F eeling Thermometer: Libertarian Vice-Pres cand,,
V161095,PRE: F eeling Thermometer: Democratic Party,,
V161096,PRE: F eeling Thermometer: Republican Party,,
V161097,PRE: Is there anything R likes about Democratic Party,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161098,PRE: T ext- What does R like about Democratic party,,"-2. Redacted text, separate file
"
V161099a,PRE: Code- What does R like about Democratic party,,"-2. Coded data, future release
"
V161100,PRE: Is there anything R dislikes about Democratic Party,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161101,PRE: T ext- What does R dislike about the Democratic party,,"-2. Redacted text, separate file
"
V161102a,PRE: Code- What does R dislike about the Democratic party,,"-2. Coded data, future release
"
V161103,PRE: Is there anything R likes about Republican Party,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161104,PRE: T ext- What does R like about Republican party,,"-2. Redacted text, separate file
"
V161105a,PRE: Code- What does R like about Republican party,,"-2. Coded data, future release
"
V161106,PRE: Is there anything R dislikes about Republican Party,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161107,PRE: T ext- What does R dislike about the Republican party,,"-2. Redacted text, separate file
"
V161108a,PRE: Code- What does R dislike about the Republican party,,"-2. Coded data, future release
"
V161109,PRE: R living with how many family members,,"-9. Refused
"
V161110,PRE: R how much better worse off than 1 year ago,"1. Much better off
2. Somewhat better off
3. About the same
4. Somewhat worse off
5. Much worse off
","-8. Don’t know (FTF only)
-9. Refused
"
V161111,PRE: R how much better worse off next year,"1. Much better off
2. Somewhat better off
3. About the same
4. Somewhat worse off
5. Much worse off
","-8. Don’t know (FTF only)
-9. Refused
"
V161112,PRE: Does R have health insurance,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161113,PRE: F avor or oppose 2010 health care law,"1. F avor
2. Oppose
3. Neither favor nor oppose
","-8. Don’t know (FTF only)
"
V161114a,PRE: Strength favor 2010 health care law,"1. A great deal
2. Moderately
3. A little
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161114b,PRE: Strength oppose 2010 health care law,"1. A great deal
2. Moderately
3. A little
","-1. INAP ,
"
V161114x,PRE: Summary: favor/oppose 2010 health care law,,
V161114b,,,
V161114a,,"1. F avor a great deal
2. F avor moderately
3. F avor a little
4. Neither favor nor oppose
5. Oppose a little
6. Oppose moderately
7. Oppose a great deal
","-1. INAP , -8,-9 in
"
V161115,PRE: Self-evaluation of R health,"1. Excellent
2. V ery good
3. Good
4. F air
5. Poor
","-9. Refused
"
V161116,PRE: Affect for Democratic Pres cand: angry,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161117,PRE: Affect for Democratic Pres cand: hopeful,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161118,PRE: Affect for Democratic Pres cand: afraid,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161119,PRE: Affect for Democratic Pres cand: proud,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161120,PRE: Affect for Democratic Pres cand: disgusted,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161121,PRE: Affect for Republican Pres cand: angry,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161122,PRE: Affect for Republican Pres cand: hopeful,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161123,PRE: Affect for Republican Pres cand: afraid,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161124,PRE: Affect for Republican Pres cand: proud,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161125,PRE: Affect for Republican Pres cand: disgusted,"1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161126,PRE: 7pt scale Liberal conservative self-placement,"1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the
5. Slightly conservative
6. Conservative
7. Extremely conservative
99. Haven’t thought much
","-8. Don’t know (FTF only)
-9. Refused
"
V161127,PRE: If R had to choose liberal or conservative self-placemt,"1. Liberal
2. Conservative
3. Moderate
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161128,PRE: 7pt scale liberal conservative - Dem Pres cand,"1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161129,PRE: 7pt scale liberal conservative - Rep Pres cand,"1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161130,PRE: 7pt scale liberal conservative Dem party,"1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161131,PRE: 7pt scale liberal conservative Rep party,"1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161132,PRE: SUMMAR Y - PLACEMENT 1 or PLACEMENT 2,"10. Assigned to early
11. Assigned to early
20. Assigned to late
21. Assigned to late
",
V161133,PRE: PLACEMENT 1: How likely is it R will vote in Nov,,
V161132,,"1. Extremely likely
2. V ery likely
3. Moderately likely
4. Slightly likely
5. Not likely at all
","-1. INAP , voter (11 in
-9. Refused
"
V161134a,PRE: PLACEMENT1: Percent for Democratic Pres candidate,,
V161132,,,
V161134b,PRE: PLACEMENT1: Percent for Republican Pres candidate,,
V161132,,,
V161135a,PRE: PLACEMENT1: State percent for Democratic Pres candidate,,
V161132,,,
V161135b,PRE: PLACEMENT1: State percent for Republican Pres candidate,,
V161132,,,
V161136,PRE: Party Control or split government,"1. Better when one party
2. Better when control is split
3. It doesnt matter
","-8. Don’t know (FTF only)
-9. Refused
"
V161137,PRE: Income gap today more or less than 20 years ago,"1. Larger
2. Smaller
3. About the same
","-8. Don’t know (FTF only)
-9. Refused
"
V161138a,PRE: How much larger is income gap today,"1. Much
2. Somewhat
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161138b,PRE: How much smaller is income gap today,"1. Much
2. Somewhat
","-1. INAP ,
"
V161138x,PRE: SUMMAR Y - larger/smaller income gap today,,
V161137,,"1. Much larger
2. Somewhat larger
3. About the same
4. Somewhat smaller
5. Much smaller
","-2. Missing: -8,-9 in
"
V161139,PRE: Current economy good or bad,"1. V ery good
2. Good
3. Neither good nor bad
4. Bad
5. V ery bad
","-8. Don’t know (FTF only)
-9. Refused
"
V161140,PRE: National economy better worse in last year,"1. Gotten better
2. Stayed about the same
3. Gotten worse
","-8. Don’t know (FTF only)
-9. Refused
"
V161140a,PRE: How much national economy better worse in last year,"1. Much
2. Somewhat
","-1. INAP ,
-9. Refused
"
V161140x,PRE: SUMMAR Y - economy better/worse in last year,,
V161139,,"1. Much better
2. Somewhat better
3. About the same
4. Somewhat worse
5. Much worse
","-2. Missing: -8,-9 in
"
V161141,PRE: Economy better or worse in next 12 months,"1. Get better
2. Stay about the same
3. Get worse
","-8. Don’t know (FTF only)
-9. Refused
"
V161141a,PRE: How much econ better worse next 12 months,"1. Much
2. Somewhat
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161141x,PRE: SUMMAR Y - economy better/worse in next year,,
V161141,,"1. Get much better
2. Get somewhat better
3. About the same
4. Get somewhat worse
5. Get much worse
","-2. Missing: -8,-9 in
"
V161142,PRE: Unemployment better or worse in last year,"1. Better
2. About the same
3. W orse
","-8. Don’t know (FTF only)
-9. Refused
"
V161142a,PRE: How much unemployment better or worse in last year,"1. Much
2. Somewhat
","-8. Don’t know (FTF only)
-9. Refused
"
V161142x,PRE: SUMMAR Y: more/less unemployment in last year,,
V161142,,"1. Much better
2. Somewhat better
3. About the same
4. Somewhat worse
5. Much worse
","-2. Missing: -8,-9 in
"
V161143,PRE: More or less unemployment in next year,"1. More
2. About the same
3. Less
","-8. Don’t know (FTF only)
-9. Refused
"
V161144,PRE: Which party better: handling nations economy,"1. Democrats
2. Republicans
3. Not much difference
4. Neither party
","-8. Don’t know (FTF only)
-9. Refused
"
V161145,PRE: Care who wins Presidential Election revised version,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all
","-8. Don’t know (FTF only)
-9. Refused
"
V161146,PRE: Who does R think will be elected President,"1. Hillary Clinton
2. Donald T rump
3. Other Specify , specified as:
4. Other Specify , specified as:
5. Other SPECIFY
6. Other specify as statement
7. Other specify given as: DK
8. Other Specify- no
9. Other Specify- don’t care,
","-8. Don’t know (FTF only)
-9. Refused
"
V161147,PRE: Will Pres race be a close or will (winner) win by a lot,"1. Will be close
2. Win by quite a bit
","-1. INAP , -9 in V161146
-8. Don’t know (FTF only)
-9. Refused
"
V161148,PRE: Which Pres cand will carry state,"1. Hillary Clinton
2. Donald T rump
3. Other Specify , specified as:
5. Other SPECIFY
6. Other specify as statement
7. Other specify given as: DK
8. Other Specify- no
9. Other Specify- don’t care,
","-8. Don’t know (FTF only)
-9. Refused
"
