var_name,summary,question,valid_labels,missing_labels
V161015a,PRE: Registration state same as sample address state (all registrations),IF R IS REGISTERED A T AN ADDRESS OTHER THAN CURRENT (PRELOAD) ADDRESS / IF WEB R HAS NO CURRENT ADDRESS ON FILE BUT INDICA TES REGISTERED: IF ST A TE OF REGISTRA TION (A T LEAST) W AS NOT PROVIDED FOR REGISTRA TION ADDRESS: In what state are you registered to vote now?,"0. State of registration is not
1. State of registration same
1. Y es, have <yellow/green>
2. Have Ballot Card in wrong
3. Only have card(s) for0. Ballot card not used as
1. Ballot card used, names
2. Ballot card not used,","-1. Inap,
-1. Inap,-1. Inap,"
V161015b,PRE: Registration state (all registrations),Not applicable 52 unique outcomes. 20 most frequently appearing outcomes:,,
V161015c,PRE: Senate race in state of registration (all registrations),Not applicable,"0. No Senate race in state of
1. Senate race in state of
","-1. Inap,
"
V161015d,PRE: Governor race in state of registration (all registrations),Not applicable,"0. No Governor race in state
1. Governor race in state of
","-1. Inap,
"
V161015e,PRE: Party registration in state of registration (all registrations),Not applicable,"0. No party registration in
1. Party registration in state
","-1. Inap,
"
V161016,PRE: Is R registered to vote in preload county (resid),"IF R REGISTERED A T AN ADDRESS OTHER THAN CURRENT AD- DRESS: IF R REGISTERED IN SAME ST A TE AS CURRENT ADDRESS OR REGISTRA TION ST A TE MISSING: Is your registration address in [PRELOAD: sample county name]? If sample location was W ashington D.C., ‘W ashington D.C’ was preloaded.","1. Y es, registered in <county
2. No, registered in other
","-1. Inap,
-9. Refused
"
V161017,PRE: How many years has R been registered at registration location,IF R REGISTERED A T CURRENT ADDRESS / IF R NOT REGIS- TERED A T CURRENT ADDRESS AND PROVIDED ADDRESS OF REGISTRA TION: How many years have you been registered to vote at [this/that] address? ENTER 0 IF RESPONSE IS LESS THAN 1 YEAR,,"-1. Inap
-8. Don’t know (FTF only)
-9. Refused
"
V161018,PRE: Party of registration,"IF R IS REGISTERED TO VOTE: IF R IS REGISTERED TO VOTE IN ST A TE WHERE P AR TY IS REGISTERED: What political party are you registered with, if any?","0. No name recorded
1. RESTRICTED: Recorded,
2. RESTRICTED: Partially
1. Democratic party
2. Republican party
4. None or ‘independent’
5. Other SPECIFY
","-1. Inap
-1. Inap
-8. Don’t know (FTF
-9. Refused
"
V161020,PRE: Does R intend to register to vote,"IF R IS NOT REGISTERED TO VOTE OR DK IF REGISTERED TO VOTE: Do you intend to register to vote before the November 8 elections, or do you not intend to register?","1. Y es, intend to register
2. No, do not intend to
","-1. Inap
-8. Don’t know (FTF only)
"
V161021,PRE: Did R vote in a Presidential primary or caucus,Did you vote in a Presidential primary election or caucus this year?,"1. Y es, voted in primary or
2. No, didn’t vote in primary
","-8. Don’t know (FTF only)
-9. Refused
"
V161021a,PRE: F or which candidate did R vote in Presidential prim,"IF R VOTED IN A PRESIDENTIAL PRIMAR Y OR CAUCUS: Looking at page [PRELOAD: page] in the booklet. In the Presidential primary or caucus, who did you vote for? SHOW RESPONDENT BOOKLET F or W eb administration, reference to the respondent booklet was omitted.","1. Hillary Clinton
2. Bernie Sanders
3. Another Democrat
4. Donald T rump
5. T ed Cruz
6. John Kasich
7. Marco Rubio
8. Another Republican
9. Someone else who is not a
","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
"
V161022,PRE: Already voted in General Election,"IF R IS REGISTERED TO VOTE: This question is not about the primary elections and caucuses that were held a few months ago. Instead, we’d like to ask you about the election for President to be held on November 8, in which [Donald T rump is running against Hillary Clinton / Hillary Clinton is running against Donald T rump]. Have you already voted in that election, or have you not voted? RANDOMIZA TION: Order of names in question text","1. Have voted
2. Have not voted
","-1. Inap
-9. Refused
"
V161022a,PRE: Confirmation voted (early) in November 8 election,"IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: Just to be clear, I’m recording that you already voted in the election that is scheduled to take place on November 8. Is that right? F or W eb administration the text read: ‘we are recording... ’","1. Y es, voted
2. No, have not voted
","-1. Inap
"
V161023,PRE: In what manner did R vote,"IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING FOR THE 2016 GENERAL ELECTIONS: Which one of the fol- lowing best describes how you voted? - Definitely voted in person at a polling place before election day - Definitely voted by mailing a ballot to elections officials before election day - Definitely voted in some other way - Not completely sure whether you voted or not F or W eb administration, response options were not included as part of the question text.","1. Definitely voted in person
2. Definitely voted by mailing
3. Definitely voted in some
","-1. Inap
"
V161024x,PRE: SUMMAR Y - Registration and early vote status,Not applicable,"1. Not (or DK/RF if)
2. Not (or DK/RF if)
3. Registered but did not
4. Registered and voted early
1. Extremely likely
2. V ery likely
3. Moderately likely
4. Slightly likely
5. Not likely at all1. Y es
2. No1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate SPECIFY
9. Other specify given as: RF1. Y es
2. No","-1. INAP , R voted (4 in
-9. Refused-1. INAP ,
-6. Unit nonresponse, no
-7. No Post, deleted due to
-8. Don’t know (FTF only)
-9. Refused-1. INAP ,
-6. Unit nonresponse, no
-7. No Post, deleted due to-1. INAP ,
-6. Unit nonresponse, no
-7. No Post, deleted due to
-8. Don’t know (FTF only)"
V161025,PRE: FTF ONL Y: IWR CHECKPOINT: have correct Pre ballot card,IF MODE IS FTF: CONGRESSIONAL DISTRICT IS: [PRELOAD: sam- ple state] [PRELOAD: sample district]. ASSIGNED BALLOT COLOR IS: [YELLOW/GREEN]. PLEASE DESCRIBE WHETHER YOU HA VE THE CORRECT BALLOT CARD FOR THE RESPONDENT: [– NO BALLOT CARD –],,
V161025a,PRE: FTF ONL Y: IWR error at Ballot Card checkpoint,IF MODE IS FTF: CONGRESSIONAL DISTRICT IS: [PRELOAD: sam- ple state] [PRELOAD: sample district]. ASSIGNED BALLOT COLOR IS: [YELLOW/GREEN]. PLEASE DESCRIBE WHETHER YOU HA VE THE CORRECT BALLOT CARD FOR THE RESPONDENT: [– NO BALLOT CARD –],,
V161025x,PRE: SUMMAR Y - administration of Pre vote module,Not applicable,"1. Used Ballot Card/preload
2. Use Ballot Card/preload
3. Used Ballot Card/preload
4. Not used (open-end
5. Not used (open-end
6. Not used (open-end
7. Program err: names
1. Y es, voted for House of
2. No, didn’t vote for House1. Candidate/party
2. Candidate/party
3. Other mention, party not1. Y es
2. No1. Democratic Senate
2. Republican Senate
3. Other Senate candidate1. Candidate/party
2. Candidate/party
3. Other mention, party not1. Y es
2. No1. Democratic Senate
2. Republican Senate
3. Other Senate candidate
5. Other SPECIFY (name1. Candidate/party
2. Candidate/party
3. Other mention, party not1. Democratic Governor
2. Republican Governor2. Candidate/party1. Y es
2. No1. Democratic Governor
2. Republican Governor
5. Other SPECIFY (name1. Candidate/party
2. Candidate/party
3. Other mention, party not
8. Other mention given as:1. Democratic Senate
2. Republican Senate","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused-1. Inap
-9. Refused-1. Inap
-8. Don’t know (FTF only)-1. Inap,
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-9. Refused-1. Inap V161025x in(2,5)
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-4. Error: missing due to-1. Inap,-1. Inap,-1. Inap,
-8. Don’t know (FTF only)-1. Inap,
-4. Error: missing due to
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-8. Don’t know (FTF only)
-9. Refused-1. Inap,
-4. Error: missing due to-1. Inap,"
V161026,PRE: Did R vote for President in 2016,IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTED IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: How about the election for President? Did you vote for a candi- date for President?,"1. Y es, voted for President
2. No, didn’t vote for President
1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate1. Strong
2. Not strong","-1. Inap,
-1. Inap,
-9. Refused-1. Inap, -8,-9 in"
V161027,PRE: F or whom did R vote for President,"IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF R VOTED FOR PRESIDENT: Who did you vote for? [ Hillary Clinton, Donald T rump / Donald T rump, Hillary Clinton], Gary Johnson, Jill Stein , or someone else?",,
V161028,PRE: Preference strong for Pres cand for whom R voted,IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF R VOTED FOR PRESIDENT: IF R’S VOTE FOR PRESI- DENT IS NOT DK/RF: W ould you say your preference for this candidate was strong or not strong?,,
V161029a,PRE: Placehold T ext- How long before election R made decision Pres vote,"IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF R VOTED FOR PRESIDENT: IF R’S VOTE FOR PRESI- DENT IS NOT DK/RF: How long before you voted did you decide that you were going to vote the way you did? PROBE IF NECESSAR Y: WOULD THA T HA VE BEEN A FEW DA YS BEFORE YOU VOTED, A WEEK, OR LONGER THAN THA T?",,"-2. Redacted text, separate file
"
V161029b,PRE: Placeholder Code- How long before election R made decision Pres vote,"IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF R VOTED FOR PRESIDENT: IF R’S VOTE FOR PRESI- DENT IS NOT DK/RF: How long before you voted did you decide that you were going to vote the way you did? PROBE IF NECESSAR Y: WOULD THA T HA VE BEEN A FEW DA YS BEFORE YOU VOTED, A WEEK, OR LONGER THAN THA T? ANES 2016 Codebook - V ersion 20190904 - page 73","1. That day; when I walked
3. More than one day/less
4. One week
5. More than one week/less
6. One month
8. T wo to three months; a
9. More than
10. Six months
11. More than six months;
12. Specific event; the answer
13. Other; the answer does
14. Longer than a week
99. Not answered; The
","-1. Inap
"
V161030,PRE: Does R intend to vote for President,"IF R IS NOT REGISTERED BUT INTENDS TO REGISTER, OR IF R IS REGISTERED BUT DID NOT VOTE: How about the election for Pres- ident? Do you intend to vote for a candidate for President?","1. Y es
2. No
1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate
6. Other specify - specified
7. Other specify - specified
8. Other specify - specified1. Strong
2. Not strong","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused
-1. Inap,
-8. Don’t know (FTF only)
-9. Refused-1. Inap, -8,-9 in
-8. Don’t know (FTF only)
-9. Refused"
V161031,PRE: F or whom does R intend to vote for President,"IF R IS NOT REGISTERED BUT INTENDS TO REGISTER, OR IF R IS REGISTERED BUT DID NOT VOTE: IF R INTENDS TO VOTE IN THE ELECTION FOR PRESIDENT: Who do you think you will vote for? [ Hillary Clinton, Donald T rump / Donald T rump, Hillary Clinton], Gary Johnson, Jill Stein , or someone else?",,
V161032,PRE: Pref strng for Pres cand for whom R intends to vote,"IF R IS NOT REGISTERED BUT INTENDS TO REGISTER, OR IF R IS REGISTERED BUT DID NOT VOTE: IF R INTENDS TO VOTE IN THE ELECTION FOR PRESIDENT: IF R’s INTENDED VOTE FOR PRESI- DENTIAL CANDIDA TE IS NOT DK/NA: W ould you say your preference for this candidate is strong or not strong?",,
V161033,PRE: Does R prefer Pres cand (no intent to register),IF R IS NOT REGISTERED TO VOTE: IF R DOES NOT INTEND TO REGISTER TO VOTE: How about the election for President? Do you prefer one of the candidates for President?,"1. Y es
2. No
","-1. Inap
"
V161034,PRE: Preference for Pres cand (no intent to register),"IF R IS NOT REGISTERED TO VOTE: IF R DOES NOT INTEND TO REGISTER TO VOTE: IF R PREFERS A PRESIDENTIAL CAN- DIDA TE: Who do you prefer? [ Hillary Clinton, Donald T rump / Donald T rump, Hillary Clinton], Gary Johnson, Jill Stein , or someone else?","1. Hillary Clinton
2. Donald T rump
3. Gary Johnson
4. Jill Stein
5. Other candidate
6. Other specify - specified
","-1. Inap
"
V161035,PRE: Preference strong for Pres cand (no intent to reg),IF R IS NOT REGISTERED TO VOTE: IF R DOES NOT INTEND TO REGISTER TO VOTE: IF R PREFERS A PRESIDENTIAL CAN- DIDA TE: IF PRESIDENTIAL CANDIDA TE PREFERENCE IS NOT DK/NA: W ould you say your preference for this candidate is strong or not strong?,"1. Strong
2. Not strong
","-1. Inap
-8. Don’t know (FTF only)
"
V161036,PRE: Did R vote for U.S. House of Representatives,IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF IWR HAS BALLOT CARD FOR REGISTRA TION DIS- TRICT/ IF IWR DOES NOT HA VE BALLOT CARD FOR REGISTRA- TION DISTRICT: [Here is a list of candidates for the major races in this district. How about the election for the House of Representatives in W ash- ington. Did you vote for a candidate for the U.S. House of Representatives? / How about the election for the House of Representatives in W ashington. Did you vote for a candidate for the U.S. House of Representatives?] [SHOW [YELLOW/GREEN] BALLOT CARD/ DO NOT SHOW BALLOT CARD],,
V161037,PRE: F or whom did R vote for U.S. House (ballot card),IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF IWR HAS BALLOT CARD FOR REGISTRA TION DIS- TRICT: IF R VOTED FOR U.S. HOUSE OF REPRESENT A TIVES: Who did you vote for? FOR CODE 4 PLEASE RECORD RELEV ANT COM- MENTS IN COMMENT BOX F or W eb administration response option 4 was not included.,"1. Democratic House
2. Republican House
3. Other House candidate
5. Other SPECIFY (name
","-1. Inap,
-9. Refused
"
V161038,PRE: F or whom did R vote for U.S. House (no ballot card),IF R IS REGISTERED TO VOTE: IF R INDICA TED VOTED EARL Y IN THE 2016 GENERAL ELECTIONS: IF HAS CONFIRMED ALREADY VOTING IN THE 2016 GENERAL ELECTIONS: IF R HAS NOT IN- DICA TED UNSURE WHETHER VOTED WHEN DESCRIBING HOW VOTED: IF IWR HAS NO BALLOT CARD FOR REGISTRA TION DIS- TRICT OR R SAID BALLOT CARD WRONG: IF R VOTED FOR U.S. HOUSE OF REPRESENT A TIVES: Who did you vote for? Which party was that? RECORD P AR TY IF R DOES NOT KNOW OR REFUSES NAME,,
V161039,PRE: Does R intend to vote for U.S. House,"IF NOT REGISTERED TO VOTE BUT INTENDS TO REGISTER, OR IF REGISTERED BUT DID NOT VOTE: IF IWR HAS BALLOT CARD FOR REGISTRA TION DISTRICT/ IF IWR DOES NOT HA VE BALLOT CARD FOR REGISTRA TION DISTRICT: [Here is a list of candidates for the major races in this district. How about the election for the House of Representatives in W ashington. Do you intend to vote in the election for the U.S. House of Representatives?/ How about the election for the House of Representatives in W ashington. Do you intend to vote in the election for the U.S. House of Representatives?] [SHOW [YELLOW/GREEN] BALLOT CARD/ DO NOT SHOW BALLOT CARD]","1. Y es
2. No1. Candidate/party
2. Candidate/party
3. Other mention, party not","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused-1. Inap
-8. Don’t know (FTF only)
-9. Refused"
V161040,PRE: F or whom does R intend to vote for U.S. House (ballot card),"IF NOT REGISTERED TO VOTE BUT INTENDS TO REGISTER, OR IF REGISTERED BUT DID NOT VOTE: IF R INTENDS TO VOTE IN THE ELECTION FOR THE U.S. HOUSE: IF IWR HAS BALLOT CARD FOR REGISTRA TION DISTRICT: Who do you think you will vote for? FOR CODE 4 PLEASE RECORD RELEV ANT COMMENTS IN COMMENT BOX F or W eb administration response option 4 was not included.","1. Democratic House
2. Republican House
3. Other House candidate
4. R VOL: names on ballot
5. Other SPECIFY (name
9. Other specify - specified as","-1. Inap,
-8. Don’t know (FTF only)
-9. Refused"
V161041,PRE: F or whom does R intend to vote for U.S. House (no ballot cd),"IF NOT REGISTERED TO VOTE BUT INTENDS TO REGISTER, OR IF REGISTERED BUT DID NOT VOTE: IF R INTENDS TO VOTE IN THE ELECTION FOR THE U.S. HOUSE: IF IWRHAS NO BALLOT CARD FOR REGISTRA TION DISTRICT OR R SAID BALLOT CARD WRONG: Who do you think you will vote for? Which party is that? RECORD P AR TY IF R DOES NOT KNOW OR REFUSES NAME",,
V161042,PRE: Does R prefer U.S. House candidate,IF R IS NOT REGISTERED TO VOTE: IF R DOES NOT INTEND TO REGISTER TO VOTE: IF IWR HAS BALLOT CARD FOR DISTRICT OF RESIDENCE / IF IWR DOES NOT HA VE BALLOT CARD FOR DISTRICT OF RESIDENCE: [Here is a list of candidates for the major races in this district. How about the election for the House of Representatives in W ashington? Do you prefer one of the candidates for the U.S. House of Representatives?/ How about the election for the House of Representatives in W ashington? Do you prefer one of the candidates for the U.S. House of Representatives?] [SHOW [YELLOW/GREEN] BALLOT CARD/ DO NOT SHOW BALLOT CARD],,
